Area,Year,"Aquatic, total","Marine, total","Marine, capture","Marine, aquac.",Marine Fish,Marine Crustaceans,Marine Molluscs,Marine Plants,"Marine, others","Freshwater, total","Freshwater, capture","Freshwater, aquac.",Freshwater Fish,Freshwater Crustaceans,Freshwater Molluscs,"Freshwater, others"
Yunnan,2006,29.2411,,0,0,0,0,0,0,0,29.2411,2.9422,26.2989,28.5172,0.5988,,0.5949
Xizang,2006,0.0528,,0,0,0,0,0,0,0,0.0528,,,,0,0,
Shaanxi,2006,7.9489,,0,0,0,0,0,0,0,7.9489,0.4708,7.4781,7.9244,,0,0.0758
Gansu,2006,1.6464,,0,0,0,0,0,0,0,1.6464,0.1135,1.5329,1.6422,,0,
Qinghai,2006,0.2045,0,0,0,0,0,0,0,0,0.2045,,0.1985,0.1902,,0,
Ningxia,2006,6.7355,0,0,0,0,0,0,0,0,6.7355,0.0926,6.6429,6.7185,,0,
Xinjiang,2006,8.4344,0,0,0,0,0,0,0,0,8.4344,1.3126,7.1218,8.3349,0.0744,,
Beijing,2007,6.0339,0.613,0.613,,0.059,,,,0.554,5.4209,,5.4209,5.341,0.0414,,35.5754
Tianjin,2007,31.1537,4.44,3.0185,1.4215,1.6911,1.43,0.5959,,0.723,26.7137,0.8947,25.819,21.9265,4.5466,0.1205,
Hebei,2007,90.6437,52.4303,25.3195,27.1108,16.0388,7.5141,26.4604,,2.417,38.2134,7.4314,30.782,35.3175,2.2909,0.2839,0.0385
Shanxi,2007,2.9575,,,,,,,,,2.9575,0.1201,2.8374,2.937,0.0167,,0.1201
Neimenggu,2007,9.3565,,,,,,,,,9.3565,2.9429,6.4136,9.0461,0.2092,,0.3211
Liaoning,2007,361.2708,302.1559,116.6194,185.5365,71.4495,27.9663,158.5899,25.4302,18.72,59.1149,4.062,55.0529,53.3251,4.6689,0.0508,0.0038
Jilin,2007,15.161,,,,,,,,,15.161,2.0521,13.1089,15.0639,0.0804,,0.1012
Heilongjiang,2007,34.2506,,,,,,,,,34.2506,3.8737,30.3769,33.5677,0.5525,,1.0701
Shanghai,2007,32,15.5621,15.5586,0.0035,11.6719,1.2251,,,2.6651,16.4379,0.4584,15.9795,9.672,6.6766,,
Jiangsu,2007,408.9904,119.9155,57.3519,62.5636,36.7095,16.9017,56.437,2.9168,6.9505,289.0749,32.1608,256.9141,211.778,65.4297,7.8615,0.0932
Zhejiang,2007,415.134,337.6194,251.492,86.1274,164.9562,69.9708,69.4478,4.1952,29.0494,77.5146,8.6127,68.9019,48.8508,14.612,4.1546,0.0617
Anhui,2007,166.4533,,,,,,,,,166.4533,31.1745,135.2788,131.2267,23.1855,9.1144,4.0057
Fujian,2007,531.995,466.4713,192.096,274.3753,162.1617,32.3999,213.1524,46.6896,12.0677,65.5237,7.8237,57.7,56.511,3.413,4.2678,9.8972
Jiangxi,2007,180.6557,,,,,,,,,180.6557,22.2627,158.393,160.2608,9.3891,6.9888,2.9267
Shandong,2007,712.7665,598.0743,244.5466,353.5277,159.8672,47.0463,299.3642,51.8811,39.9155,114.6922,11.4368,103.2554,105.7129,7.3164,1.1547,1.3319
Henan,2007,45.6794,,,,,,,,,45.6794,2.6548,43.0246,43.8096,1.4539,0.1216,4.017
Hubei,2007,298.0434,,,,,,,,,298.0434,36.3925,261.6509,266.4701,25.5016,3.7979,0.5082
Hunan,2007,170.0888,,,,,,,,,170.0888,15.4493,154.6395,162.3367,2.7645,3.046,0.2943
Guangdong,2007,664.3357,373.1201,150.1581,222.962,135.0432,51.5166,172.0298,4.3213,10.2092,291.2156,11.8306,279.385,254.2466,27.134,6.6411,2.2738
Guangxi,2007,246.056,143.3236,66.9591,76.3645,41.2014,26.2039,67.6611,0.0219,8.2353,102.7324,10.1262,92.6062,98.3585,1.3499,1.8096,1.9416
Hainan,2007,132.2724,108.0586,90.7114,17.3472,76.8495,16.4845,4.4609,3.3822,6.8815,24.2138,1.807,22.4068,23.1488,0.1323,0.247,3.1939
Chongqing,2007,18.526,,,,,,,,,18.526,0.9834,17.5426,17.7526,0.0652,0.0793,1.2144
Sichuan,2007,91.0526,,,,,,,,,91.0526,6.2209,84.8317,89.1702,0.5513,0.5891,0.6857
Guizhou,2007,7.6798,,,,,,,,,7.6798,1.1275,6.5523,7.5051,0.1316,,0.6289
Yunnan,2007,23.6587,,,,,,,,,23.6587,2.1228,21.5359,23.2066,0.3914,,0.742
Xizang,2007,0.0528,,,,,,,,,0.0528,,,,,,
Shaanxi,2007,5.0323,,,,,,,,,5.0323,0.3642,4.6681,5.0067,,,
Gansu,2007,1.1449,,,,,,,,,1.1449,0.0741,1.0708,1.1421,,,
Qinghai,2007,0.1524,,,,,,,,,0.1524,,0.1471,0.1444,,,
Ningxia,2007,7.0439,,,,,,,,,7.0439,,7.0286,6.9764,0.0675,,
Xinjiang,2007,8.7746,,,,,,,,,8.7746,1.1171,7.6575,8.6309,0.0817,,
Beijing,2008,6.1,0.7,0.7,,,,,,,5.4,0.4,5,5.3,,,
Tianjin,2008,32.3,3.9,2.4,1.4,1.1,1.5,0.5,,0.3,28.4,0.9,27.5,23.7,4.5,0.1,0.1
Hebei,2008,96.6,54.9,25.3,29.6,16.5,8,27.9,,2.5,41.7,8.1,33.6,38.6,2.5,0.3,0.4
Shanxi,2008,3.1,,,,,,,,,3.1,0.1,3,3.1,,,
Neimenggu,2008,9.8,,,,,,,,,9.8,2.8,7,9.6,0.1,,0.1
Liaoning,2008,377.7,316.1,114,202.1,57.6,23.3,169.6,24.7,29.8,61.5,3.7,57.8,57.2,3.7,,0.6
Jilin,2008,15.5,,,,,,,,,15.5,2,13.5,15.4,0.1,,
Heilongjiang,2008,35.6,,,,,,,,,35.6,4.2,31.4,35.1,0.5,,
Shanghai,2008,32.3,17.7,17.7,,0.9,1,,,0.1,14.6,0.4,14.2,8.5,6.1,,0.1
Jiangsu,2008,425,125.3,57.8,67.4,39,16.4,60.3,2.6,5.7,299.8,32.2,267.6,218.1,69.1,9.2,3.3
Zhejiang,2008,418.8,337.6,254.5,83.1,167,67.2,67.8,3.5,11.9,81.2,8.1,73.1,53.1,13.1,3.6,11.4
Anhui,2008,172.3,,,,,,,,,172.3,31,141.3,135.5,24.7,8.8,3.4
Fujian,2008,542,476.1,198.3,277.8,154,34.1,210,51.3,11.8,65.9,7.6,58.3,55.8,4.1,4.7,1.4
Jiangxi,2008,190.4,,,,,,,,,190.4,24.1,166.3,169.4,10.2,6.9,3.9
Shandong,2008,730.3,609.5,248.1,361.4,169.4,46.6,300.1,51.1,32.5,120.8,13,107.9,112.6,7.3,0.6,0.3
Henan,2008,50.6,,,,,,,,,50.6,3,47.6,48.4,1.7,0.2,0.3
Hubei,2008,313.4,,,,,,,,,313.4,30.3,283.1,276.5,31.3,3.2,2.4
Hunan,2008,178.6,,,,,,,,,178.6,16,162.6,170,3.1,3.3,2.2
Guangdong,2008,680.4,376.8,153.8,223,131.7,50.7,166.6,6,13.4,303.6,12.5,291.1,266,25.2,6.7,5.7
Guangxi,2008,250,144.1,66.5,77.6,42.8,26.4,66.1,,7.9,105.9,10.6,95.4,101.8,1.2,1.7,1.2
Hainan,2008,139.4,110.9,93.9,17,84.5,13.4,3.6,3.2,6.2,28.5,2,26.5,27.3,0.2,0.2,0.9
Chongqing,2008,19.1,,,,,,,,,19.1,1,18.1,18.9,0.1,0.1,
Sichuan,2008,95.2,,,,,,,,,95.2,5.8,89.4,93.2,0.6,0.5,0.9
Guizhou,2008,7.8,,,,,,,,,7.8,1.1,6.7,7.6,0.1,,
Yunnan,2008,25.5,,,,,,,,,25.5,2.4,23.1,25,0.4,,
Xizang,2008,0.1,,,,,,,,,0.1,,,,,,
Shaanxi,2008,5.2,,,,,,,,,5.2,0.4,4.8,5.2,,,
Gansu,2008,1.2,,,,,,,,,1.2,0.1,1.1,1.2,,,
Qinghai,2008,0.1,,,,,,,,,0.1,,0.1,0.1,,,
Ningxia,2008,7.5,,,,,,,,,7.5,,7.5,7.5,0.1,,
Xinjiang,2008,9.1,,,,,,,,,9.1,1.1,8,9,0.1,,
Beijing,2009,5.8161,0.3913,,,,,,,,5.4248,0.3985,5.0263,5.373,,,
Tianjin,2009,33.4044,3.9455,2.5388,1.4067,1.0714,1.4691,0.3892,,0.1229,29.4589,0.8749,28.584,24.0578,5.1032,0.1017,0.1962
Hebei,2009,100.41,55.3884,25.3317,30.0567,15.152,7.2917,28.2873,,4.6574,45.0216,8.7733,36.2483,41.5983,2.6465,0.312,0.4648
Shanxi,2009,3.1,,,,,,,,,3.1,0.0749,3.0251,3.0781,,,
Neimenggu,2009,10.5979,,,,,,,,,10.5979,2.9586,7.6393,10.3615,0.1397,,0.0967
Liaoning,2009,400.605,327.5288,113.212,214.3168,59.4485,21.9836,178.3403,24.8383,29.2373,73.0762,5.6308,67.4454,66.0095,5.8493,0.0995,1.1179
Jilin,2009,16.5184,,,,,,,,,16.5184,1.9186,14.5998,16.4349,0.0653,,
Heilongjiang,2009,38.07,,,,,,,,,38.07,4.3149,33.7551,37.5354,0.4943,,
Shanghai,2009,30.8986,15.6351,15.6351,,1.1547,0.9908,,,,15.2635,0.4768,14.7867,9.1957,5.9414,,0.1054
Jiangsu,2009,443.2236,130.4969,57.0009,73.496,39.0483,18.0585,63.5043,3.3477,5.8035,312.7267,32.0732,280.6535,227.4497,71.0954,9.6562,4.5254
Zhejiang,2009,440.3134,353.8075,277.351,76.4565,187.62,75.2358,62.4856,4.2169,13.5358,86.5059,9.0343,77.4716,56.4167,12.7782,4.5622,12.7488
Anhui,2009,183.1462,,,,,,,,,183.1462,30.7285,152.4177,143.9066,27.3716,8.2156,3.6524
Fujian,2009,567.5206,495.8118,202.7864,293.0254,157.1186,36.4668,217.6775,55.5435,12.1448,71.7088,7.8121,63.8967,60.8364,4.2609,4.975,1.6365
Jiangxi,2009,201.0503,,,,,,,,,201.0503,22.751,178.2993,176.904,12.231,7.5903,4.325
Shandong,2009,753.5939,626.3895,244.9591,381.4304,164.2077,43.6019,322.5134,50.749,37.4475,127.2044,12.8342,114.3702,118.8717,7.0765,0.8607,0.3955
Henan,2009,53.765,,,,,,,,,53.765,3.0597,50.7053,51.3242,1.7889,0.1551,0.4968
Hubei,2009,333.8896,,,,,,,,,333.8896,26.2154,307.6742,287.8774,40.0224,3.198,2.7918
Hunan,2009,188.06,,,,,,,,,188.06,11.0186,177.0414,179.9364,2.6833,3.0536,2.3867
Guangdong,2009,702.5951,387.1498,152.5341,234.6157,126.6847,56.2707,173.5228,6.8761,12.8481,315.4453,12.651,302.7943,276.2518,26.3533,6.608,6.2322
Guangxi,2009,262.2793,149.0189,66.7684,82.2505,42.5682,28.211,68.8544,,8.9148,113.2604,11.2645,101.9959,109.0241,1.2799,1.6642,1.2922
Hainan,2009,145.4899,114.2795,96.1122,18.1673,86.7483,14.0064,4.4459,2.8352,6.2437,31.2104,1.9235,29.2869,29.994,0.1933,0.1869,
Chongqing,2009,20.39,,,,,,,,,20.39,0.988,19.402,20.2314,0.0788,,
Sichuan,2009,100.1317,,,,,,,,,100.1317,5.7679,94.3638,98.343,0.6169,0.5046,0.6672
Guizhou,2009,8.03,,,,,,,,,8.03,1.1041,6.9259,7.8428,0.1484,,
Yunnan,2009,27.1217,,,,,,,,,27.1217,2.3435,24.7782,26.5661,0.4561,,0.0687
Xizang,2009,0.05,,,,,,,,,0.05,,,,,,
Shaanxi,2009,5.6,,,,,,,,,5.6,0.4154,5.1846,5.5824,,,
Gansu,2009,1.1926,,,,,,,,,1.1926,,1.1926,1.1897,,,
Qinghai,2009,0.14,,,,,,,,,0.14,,0.136,0.1334,,,
Ningxia,2009,8.1844,,,,,,,,,8.1844,,8.165,8.1324,0.052,,
Xinjiang,2009,9.5037,,,,,,,,,9.5037,0.9174,8.5863,9.3974,0.0558,,
Beijing,2010,6.3386,0.896,0.896,,,,,,,5.4426,0.4224,5.003,5.4096,,,
Tianjin,2010,34.4925,3.8986,2.4774,1.4212,1.1301,1.404,0.2624,,0.2001,30.5939,0.9667,29.6,25.0054,5.1862,0.0983,0.304
Hebei,2010,106.33,58.26,25.3292,32.9308,15.1653,7.8882,30.8017,0.025,4.3798,48.07,9.2247,38.8,44.3331,2.7725,0.3886,0.5758
Shanxi,2010,3.17,,,,,,,,,3.17,0.0831,3.1,3.1308,,,
Neimenggu,2010,11.3804,,,,,,,,,11.3804,3.0671,8.3,11.0998,0.1446,,0.136
Liaoning,2010,430.3774,349.7366,118.2672,231.4694,59.5791,22.4091,190.5122,26.5013,33.2075,80.6408,5.678,75,72.5533,6.3752,0.1018,1.6105
Jilin,2010,16.5958,,,,,,,,,16.5958,1.9756,14.6,16.52,0.0595,,
Heilongjiang,2010,39.97,,,,,,,,,39.97,4.6885,35.3,39.4052,0.5323,,
Shanghai,2010,28.9678,12.1464,12.1464,,1.2202,0.9031,,,0.0298,16.8214,0.5735,16.2,9.9002,6.8168,,0.089
Jiangsu,2010,460.4429,136.4468,57.9295,78.5173,38.8735,20.1332,67.603,2.9934,5.9496,323.9961,33.2363,290.8,238.1357,69.9331,11.6836,4.2437
Zhejiang,2010,477.9502,381.2332,298.6602,82.573,198.6785,78.0922,67.6171,4.4471,15.8381,96.717,9.215,87.5,62.2878,15.1745,4.4595,14.7952
Anhui,2010,193.3118,,,,,,,,,193.3118,31.5877,161.7,152.9311,28.7587,7.9541,3.6679
Fujian,2010,586.9567,512.7982,208.8992,303.899,161.9246,38.5259,222.1429,59.9357,12.2167,74.1585,8.1917,66,62.6844,5.1043,4.8373,1.5325
Jiangxi,2010,215.3405,,,,,,,,,215.3405,29.2513,186.1,188.2809,14.663,7.7488,4.6478
Shandong,2010,783.8259,646.3345,250.0702,396.2643,166.4321,40.8386,330.7076,53.0475,40.3273,137.4914,13.0896,124.4,125.8056,10.326,0.9289,0.4309
Henan,2010,57.855,,,,,,,,,57.855,3.235,54.6,55.3312,1.813,0.1639,0.5469
Hubei,2010,353.0935,,,,,,,,,353.0935,26.3654,326.7,299.231,47.2778,3.3491,3.2356
Hunan,2010,198,,,,,,,,,198,9.6668,188.3,190.0155,2.734,2.7517,2.4988
Guangdong,2010,729.0299,401.5032,152.4344,249.0688,132.5189,56.9815,183.2209,6.6021,12.7046,327.5267,12.8598,314.7,287.3967,27.5028,6.7824,5.8448
Guangxi,2010,275.5053,154.4481,66.7073,87.7408,41.7471,28.826,72.8672,,10.5959,121.0572,11.6871,109.4,116.09,1.3372,1.6272,2.0028
Hainan,2010,149.48,117.8877,99.4715,18.4162,89.0528,14.4392,4.7075,3.0437,6.6445,31.5923,1.951,29.6,30.3575,0.2026,0.1701,0.8621
Chongqing,2010,22.43,,,,,,,,,22.43,1.0955,21.3,22.2395,0.1114,,0.0555
Sichuan,2010,105.0635,,,,,,,,,105.0635,5.803,99.3,103.3117,0.686,0.4821,0.5837
Guizhou,2010,8.79,,,,,,,,,8.79,1.2062,7.6,8.5782,0.1706,,
Yunnan,2010,29.7757,,,,,,,,,29.7757,2.3121,27.5,29.2701,0.2651,0.1433,0.0972
Xizang,2010,0.05,,,,,,,,,0.05,,,,,,
Shaanxi,2010,6.0373,,,,,,,,,6.0373,0.4235,5.6,6.0173,,,
Gansu,2010,1.23,,,,,,,,,1.23,,1.2,1.2249,,,
Qinghai,2010,0.16,,,,,,,,,0.16,,0.2,0.1491,,,
Ningxia,2010,9.0035,,,,,,,,,9.0035,,9,8.9165,0.087,,
Xinjiang,2010,10.1063,,,,,,,,,10.1063,1.015,9.1,9.9923,0.0503,,0.0568
Beijing,2011,6.1228,0.7532,0.7532,,0.7532,,,,,5.3696,0.3939,4.9757,5.3447,,,
Tianjin,2011,35.2148,3.8342,2.5037,1.3305,2.1682,1.2064,0.3066,,0.153,31.3806,1.1037,30.2769,25.5882,5.4857,0.1015,0.2052
Hebei,2011,106.7131,56.3281,25.1761,31.152,14.5094,7.1757,29.1038,,5.5392,50.385,9.9298,40.4552,46.4896,2.8464,0.4019,0.6471
Shanxi,2011,3.6137,,,,,,,,,3.6137,0.1121,3.5016,3.5703,,,
Neimenggu,2011,12.29,,,,,,,,,12.29,3.0468,9.2432,11.9751,0.1243,,0.1906
Liaoning,2011,451.4693,365.7958,122.2774,243.5184,86.7228,23.1405,201.9354,31.2425,22.7546,85.6735,4.5947,81.0788,77.0764,7.4434,,1.1368
Jilin,2011,17.2816,,,,,,,,,17.2816,2.0087,15.2729,17.1952,0.0714,,
Heilongjiang,2011,41.9685,,,,,,,,,41.9685,5.4203,36.5482,41.4369,0.4765,0.0512,
Shanghai,2011,28.7314,12.1586,12.1586,,11.1319,0.9967,,,,16.5728,0.5662,16.0066,10.176,6.3274,,0.0561
Jiangsu,2011,475.9669,142.084,57.8432,84.2408,40.5482,21.5019,72.0903,2.6014,5.3422,333.8829,33.3684,300.5145,245.5762,72.1138,12.2302,3.9627
Zhejiang,2011,515.8098,410.9846,326.4905,84.4941,237.5001,82.5436,68.2126,4.8018,17.9265,104.8252,9.851,94.9742,67.4458,16.3457,4.5561,16.4776
Anhui,2011,199.5505,,,,,,,,,199.5505,31.929,167.6215,157.3976,29.9093,8.6258,3.6178
Fujian,2011,603.7385,526.1619,210.013,316.1489,182.1687,40.4439,227.6548,63.0215,12.873,77.5766,8.4782,69.0984,65.3095,5.808,4.7801,1.679
Jiangxi,2011,217.27,,,,,,,,,217.27,24.4298,192.8402,191.9608,13.8138,6.8926,4.6028
Shandong,2011,813.828,664.7212,251.2437,413.4775,191.0047,38.5821,343.1311,50.9405,41.0628,149.1068,13.5378,135.569,137.553,10.1623,0.897,0.4945
Henan,2011,65.473,,,,,,,,,65.473,3.8357,61.6373,63.2162,1.6815,0.1659,0.4094
Hubei,2011,356.2198,,,,,,,,,356.2198,20.5971,335.6227,308.6791,40.0251,4.1184,3.3972
Hunan,2011,199.9353,,,,,,,,,199.9353,9.6375,190.2978,192.2627,2.8977,2.1228,2.6521
Guangdong,2011,762.5332,418.2257,152.6511,265.5746,147.7793,60.1891,190.5124,7.1653,12.5796,344.3075,12.8402,331.4673,302.672,30.0686,6.4733,5.0936
Guangxi,2011,289.2338,159.3225,66.9421,92.3804,43.1402,31.134,74.9572,,10.0911,129.9113,12.3259,117.5854,124.6495,1.3721,1.6723,2.2174
Hainan,2011,160.2445,124.042,105.03,19.012,94.1309,14.9332,4.8662,3.1396,6.9721,36.2025,2.1015,34.101,34.9248,0.2192,0.183,0.8755
Chongqing,2011,27.56,,,,,,,,,27.56,1.2955,26.2645,27.3217,0.1553,,0.052
Sichuan,2011,112.1464,,,,,,,,,112.1464,5.9191,106.2273,110.4106,0.7567,0.406,0.5731
Guizhou,2011,10.8802,,,,,,,,,10.8802,1.3698,9.5104,10.663,0.1714,,
Yunnan,2011,34.24,,,,,,,,,34.24,2.4117,31.8283,33.7724,0.318,0.0838,0.0658
Xizang,2011,,,,,,,,,,,,,,,,
Shaanxi,2011,8.18,,,,,,,,,8.18,0.7088,7.4712,8.0684,,,0.0879
Gansu,2011,1.2879,,,,,,,,,1.2879,,1.2879,1.2829,,,
Qinghai,2011,0.3293,,,,,,,,,0.3293,,0.323,0.3153,,,
Ningxia,2011,10.5422,,,,,,,,,10.5422,,10.5222,10.4278,0.1144,,
Xinjiang,2011,11.1564,,,,,,,,,11.1564,1.3501,9.8063,10.859,0.0726,,0.224
Beijing,2012,6.3842,0.958,0.958,,0.958,,,,,5.4262,0.3822,5.044,5.4012,,,
Tianjin,2012,36.5042,4.1594,2.7309,1.4285,2.4771,1.3264,0.2415,,0.1144,32.3448,1.1467,31.1981,26.0195,5.991,0.0976,0.2367
Hebei,2012,116.3172,63.4631,25.257,38.2061,14.1882,8.1978,36.0885,,4.9886,52.8541,9.7593,43.0948,48.4141,3.3498,0.3786,0.7116
Shanxi,2012,4.1243,,,,,,,,,4.1243,0.1122,4.0121,4.0654,,,
Neimenggu,2012,13.1575,,,,,,,,,13.1575,3.1133,10.0442,12.8836,0.0774,,0.1965
Liaoning,2012,478.6268,389.3291,125.7664,263.5627,89.3345,23.3528,219.1447,32.5585,24.9386,89.2977,5.1561,84.1416,79.7752,8.3503,,1.1573
Jilin,2012,18.21,,,,,,,,,18.21,2.0126,16.1974,18.0529,0.1284,,
Heilongjiang,2012,45.284,,,,,,,,,45.284,5.1946,40.0894,44.7524,0.4914,,
Shanghai,2012,29.7132,13.0585,13.0585,,12.087,0.9474,,,,16.6547,0.4443,16.2104,10.1602,6.3937,,0.0835
Jiangsu,2012,493.7399,148.4814,57.9855,90.4959,42.1816,22.2103,76.0418,2.4196,5.6281,345.2585,33.4217,311.8368,253.8039,75.265,12.225,3.9646
Zhejiang,2012,539.5806,431.2434,345.107,86.1364,243.5663,94.1175,69.9891,4.9556,18.6149,108.3372,9.9603,98.3769,70.2484,15.6052,4.1209,18.3627
Anhui,2012,207.4938,,,,,,,,,207.4938,32.3494,175.1444,163.952,30.8606,8.656,4.0252
Fujian,2012,628.6826,546.6075,213.948,332.6595,186.6229,44.0506,229.9217,71.0719,14.9404,82.0751,8.6153,73.4598,68.745,6.8427,4.6776,1.8098
Jiangxi,2012,237.0007,,,,,,,,,237.0007,26.4866,210.5141,208.7708,15.3418,7.2818,5.6063
Shandong,2012,841.8937,686.0746,249.8303,436.2443,189.7138,38.3242,357.5329,56.8226,43.6811,155.8191,13.9308,141.8883,143.9976,10.2359,0.9009,0.6847
Henan,2012,71.721,,,,,,,,,71.721,4.1567,67.5643,68.9215,1.9054,0.0592,0.8349
Hubei,2012,388.9476,,,,,,,,,388.9476,21.308,367.6396,330.1681,50.749,4.1123,3.9182
Hunan,2012,221.4376,,,,,,,,,221.4376,10.4952,210.9424,213.3573,3.0609,2.3227,2.6967
Guangdong,2012,789.5004,432.3435,156.6073,275.7362,156.7952,62.9683,192.4803,7.8651,12.2346,357.1569,13.0628,344.0941,315.1398,30.6147,6.5195,4.8829
Guangxi,2012,303.87,164.7922,67.0615,97.7307,42.8671,33.6364,78.0421,,10.2466,139.0778,12.953,126.1248,133.3658,1.444,1.7256,2.5424
