Area,Year,"Aquatic, total","Marine, total","Marine, capture","Marine, aquac.",Marine Fish,Marine Crustaceans,Marine Molluscs,Marine Plants,"Marine, others","Freshwater, total","Freshwater, capture","Freshwater, aquac.",Freshwater Fish,Freshwater Crustaceans,Freshwater Molluscs,"Freshwater, others"
Hainan,2012,172.734,132.5427,110.9325,21.6102,99.9486,16.5628,5.2989,3.3479,7.3845,40.1913,2.1377,38.0536,38.862,0.2289,0.1844,0.916
Chongqing,2012,33.072,,,,,,,,,33.072,1.4898,31.5822,32.7706,0.1931,,0.0623
Sichuan,2012,118.9102,,,,,,,,,118.9102,6.0321,112.8781,117.2132,0.6919,0.4052,0.5999
Guizhou,2012,13.4675,,,,,,,,,13.4675,1.4286,12.0389,13.0436,0.1947,0.059,0.1702
Yunnan,2012,40.12,,,,,,,,,40.12,2.8322,37.2878,39.4861,0.3239,0.0804,0.2296
Xizang,2012,,,,,,,,,,,,,,,,
Shaanxi,2012,10.5429,,,,,,,,,10.5429,0.4754,10.0675,10.3912,,,0.1266
Gansu,2012,1.334,,,,,,,,,1.334,,1.334,1.3262,,,
Qinghai,2012,0.452,,,,,,,,,0.452,,0.446,0.4355,,,
Ningxia,2012,12.3538,,,,,,,,,12.3538,,12.332,12.1609,0.1929,,
Xinjiang,2012,12.17,,,,,,,,,12.17,1.2693,10.9007,11.9982,0.0993,,0.0677
Beijing,2013,6.3611,0.7008,0.7008,,0.7008,,,,,5.6603,0.3691,5.2912,5.6359,0.0121,,0.0123
Tianjin,2013,39.8562,7.8733,6.6464,1.2269,6.5548,1.0504,0.209,,0.0591,31.9829,1.2333,30.7496,26.454,5.2748,0.0982,0.1559
Hebei,2013,123.0636,68.2809,23.0539,45.227,13.4634,7.7538,43.017,,4.0467,54.7827,9.76,45.0227,49.8931,3.9094,0.3783,0.6019
Shanxi,2013,4.5621,,,,,,,,,4.5621,0.1122,4.4499,4.5012,0.0108,,0.0501
Neimenggu,2013,14.1321,,,,,,,,,14.1321,3.1009,11.0312,13.8587,0.0813,,0.1921
Liaoning,2013,505.0252,411.1302,128.3693,282.7609,92.2035,23.3465,237.3454,31.972,26.2628,93.895,5.4247,88.4703,83.3141,9.165,0.0643,1.3516
Jilin,2013,18.5827,,,,,,,,,18.5827,2.0852,16.4975,18.3733,0.1535,0.0493,0.0066
Heilongjiang,2013,48.8615,,,,,,,,,48.8615,5.156,43.7055,48.3859,0.4346,0.0358,0.0052
Shanghai,2013,28.8787,12.4825,12.4825,,11.2995,1.1642,0.0017,,0.0171,16.3962,0.3841,16.0121,10.7147,5.6173,0.001,0.0632
Jiangsu,2013,509.3844,151.2078,57.3336,93.8742,40.7552,25.9342,76.129,3.0918,5.2976,358.1766,32.8524,325.3242,264.6414,78.1839,11.553,3.7983
Zhejiang,2013,550.8186,443.1886,356.0186,87.17,250.5759,98.0348,71.5936,4.8006,18.1837,107.63,9.5782,98.0518,70.4274,14.6886,3.9365,18.5775
Anhui,2013,215.5341,,,,,,,,,215.5341,32.5049,183.0292,171.3382,30.9501,8.8674,4.3784
Fujian,2013,658.4802,571.6786,216.7826,354.896,191.5918,45.7391,241.0641,77.6514,15.6322,86.8016,8.5088,78.2928,72.5187,7.0921,5.197,1.9938
Jiangxi,2013,242.646,,,,,,,,,242.646,26.062,216.584,213.6498,15.4424,7.4938,6.06
Shandong,2013,863.1599,699.459,242.824,456.635,187.0689,38.7635,372.3315,59.0625,42.2326,163.7009,14.2253,149.4756,151.26,10.5984,0.9228,0.9197
Henan,2013,85.013,,,,,,,,,85.013,4.6817,80.3313,82.2985,2.0354,0.0693,0.6098
Hubei,2013,410.3732,,,,,,,,,410.3732,21.3035,389.0697,345.0337,57.0227,4.1303,4.1865
Hunan,2013,234.0595,,,,,,,,,234.0595,10.4606,223.5989,225.4373,3.1391,2.3997,3.0834
Guangdong,2013,816.1268,442.4022,155.4002,287.002,159.3396,66.3193,196.9585,8.274,11.5108,373.7246,12.9844,360.7402,334.8845,29.5633,5.0535,4.2233
Guangxi,2013,319.3444,170.9849,65.3388,105.6461,41.5569,36.0164,83.2495,,10.1621,148.3595,13.1851,135.1744,142.3413,1.49,1.7138,2.8144
Hainan,2013,183.1423,136.9335,112.1263,24.8072,101.7059,18.4472,5.66,3.6317,7.4887,46.2088,2.1538,44.055,44.7734,0.2504,0.1869,0.9981
Chongqing,2013,38.5,,,,,,,,,38.5,1.48,37.02,38.0958,0.2215,0.0472,0.1355
Sichuan,2013,126.0578,,,,,,,,,126.0578,6,120.0578,124.2174,0.755,0.415,0.6704
Guizhou,2013,16.6997,,,,,,,,,16.6997,1.4,15.2997,16.3725,0.231,0.0517,0.0445
Yunnan,2013,48.63,,,,,,,,,48.63,3.8247,44.8053,48.0071,0.3381,0.1315,0.1533
Xizang,2013,0.04,,,,,,,,,0.04,0.0335,0.0065,0.0324,,,0.0076
Shaanxi,2013,12.515,,,,,,,,,12.515,0.54,11.975,12.1719,0.0205,0.002,0.3206
Gansu,2013,1.3884,,,,,,,,,1.3884,,1.3884,1.3832,0.005,,0.0002
Qinghai,2013,0.6,,,,,,,,,0.6,,0.6,0.5875,0.0125,,
Ningxia,2013,14.493,,,,,,,,,14.493,0.023,14.47,14.2906,0.2024,,
Xinjiang,2013,13.1704,,,,,,,,,13.1704,1.3153,11.8551,12.9606,0.1032,0.0045,0.1021
Beijing,2014,6.8184,1.3222,1.3222,,1.3222,,,,,5.4962,0.4091,5.0871,5.4577,0.0047,,0.0338
Tianjin,2014,40.8244,7.7221,6.5594,1.1627,6.45,0.9156,0.1797,,0.1768,33.1023,1.1712,31.9311,28.4016,4.4204,0.0979,0.1824
Hebei,2014,126.3941,73.1594,23.9595,49.1999,14.3783,7.4982,46.9296,,4.3533,53.2347,10.168,43.0667,49.0131,3.2328,0.3779,0.6109
Shanxi,2014,5.1248,,,,,,,,,5.1248,0.106,5.0188,5.0637,0.0127,,0.0484
Neimenggu,2014,14.7949,,,,,,,,,14.7949,2.9918,11.8031,14.4644,0.1273,,0.2032
Liaoning,2014,525.6719,429.6825,140.63,289.0525,104.2868,24.5531,240.9997,35.1402,24.7027,95.9894,5.5688,90.4206,84.8732,9.6217,0.0612,1.4333
Jilin,2014,19.0125,,,,,,,,,19.0125,2.0657,16.9468,18.7606,0.2024,0.049,0.0005
Heilongjiang,2014,51.3534,,,,,,,,,51.3534,5.4138,45.9396,50.8805,0.4359,0.0319,0.0051
Shanghai,2014,33.046,16.9594,16.9594,,15.6588,1.2871,0.001,,0.0125,16.0866,0.3398,15.7468,10.6152,5.3968,0.0011,0.0735
Jiangsu,2014,518.7503,150.3806,56.7859,93.5947,40.3205,27.2812,74.8989,2.8293,5.0507,368.3697,32.5778,335.7919,269.9205,83.5197,11.173,3.7565
Zhejiang,2014,574.1734,467.333,377.539,89.794,267.7255,103.3555,73.7834,4.8264,17.6422,106.8404,9.0952,97.7452,73.4324,13.1446,3.1479,17.1155
Anhui,2014,223.6864,,,,,,,,,223.6864,32.8456,190.8408,178.5856,31.8361,8.758,4.5067
Fujian,2014,695.8361,603.3847,223.9549,379.4298,200.3934,49.5176,255.6808,81.5156,16.2773,92.4514,8.7425,83.7089,76.9996,7.7146,5.5355,2.2017
Jiangxi,2014,253.6613,,,,,,,,,253.6613,25.9832,227.6781,224.2616,15.3367,7.6595,6.4035
Shandong,2014,903.7382,746.1343,266.2236,479.9107,215.6295,39.8309,387.265,66.4269,36.982,157.6039,11.1983,146.4056,147.0897,9.0288,0.6375,0.8479
Henan,2014,91.764,,,,,,,,,91.764,4.931,86.833,88.7317,2.2524,0.0731,0.7068
Hubei,2014,433.3008,,,,,,,,,433.3008,20.8068,412.494,359.6676,65.0876,4.0828,4.4628
Hunan,2014,248.162,,,,,,,,,248.162,10.7744,237.3876,238.9943,3.1805,2.4351,3.5521
Guangdong,2014,836.3406,450.6007,156.2026,294.3981,158.7986,71.2174,199.7717,8.2173,12.5957,385.7399,12.5825,373.1574,347.2182,30.1783,4.7141,3.6293
Guangxi,2014,332.3956,174.4361,65.3386,109.0975,41.4586,37.6273,85.1907,,10.1595,157.9595,13.4602,144.4993,151.7465,1.4939,1.7232,2.9959
Hainan,2014,197.4357,149.0173,122.0091,27.0082,109.9817,19.8623,7.0113,3.9318,8.2302,48.4184,2.2073,46.2111,47.3706,0.2482,0.1769,0.6227
Chongqing,2014,44.3409,,,,,,,,,44.3409,2.0333,42.3076,43.8735,0.2988,0.0456,0.123
Sichuan,2014,132.6349,,,,,,,,,132.6349,6.016,126.6189,130.7361,0.7763,0.4178,0.7047
Guizhou,2014,20.994,,,,,,,,,20.994,1.39,19.604,20.6203,0.2992,0.0389,0.0356
Yunnan,2014,58.2013,,,,,,,,,58.2013,4.6881,53.5132,57.3579,0.4939,0.2067,0.1428
Xizang,2014,0.034,,,,,,,,,0.034,0.0279,0.0061,0.0277,,,0.0063
Shaanxi,2014,13.932,,,,,,,,,13.932,0.6,13.332,13.5325,0.0372,0.0006,0.3617
Gansu,2014,1.4476,,,,,,,,,1.4476,,1.4476,1.4427,0.0047,,0.0002
Qinghai,2014,0.9037,,,,,,,,,0.9037,,0.9037,0.8901,0.0136,,
Ningxia,2014,16.2588,,,,,,,,,16.2588,0.0344,16.2244,16.0357,0.2225,,0.0006
Xinjiang,2014,14.4007,,,,,,,,,14.4007,1.3126,13.0881,14.2459,0.1174,0.0045,0.0329
Beijing,2015,6.6147,1.7,1.7,,1.7,,,,,4.9147,0.4104,4.5043,4.9065,0.0036,,0.0046
Tianjin,2015,40.0965,7.5637,6.5094,1.0543,6.3828,0.8719,0.25,,0.059,32.5328,1.2316,31.3012,27.9668,4.3655,0.0558,0.1447
Hebei,2015,129.7077,76.0931,25.4447,50.6484,15.7972,7.774,48.2177,,4.3042,53.6146,10.2721,43.3425,49.5247,3.096,0.3818,0.6121
Shanxi,2015,5.2427,,,,,,,,,5.2427,0.1074,5.1353,5.185,0.013,,0.0447
Neimenggu,2015,15.3525,,,,,,,,,15.3525,2.9364,12.4161,15.0467,0.107,,0.1988
Liaoning,2015,531.2765,431.9822,137.7857,294.1965,99.8286,24.1184,245.0291,34.8495,28.1566,99.2943,5.5953,93.699,88.1463,9.9485,0.046,1.1535
Jilin,2015,19.52,,,,,,,,,19.52,1.9654,17.5546,19.2398,0.2352,0.045,
Heilongjiang,2015,54.2368,,,,,,,,,54.2368,5.7169,48.5199,53.7152,0.4808,0.0357,0.0051
Shanghai,2015,32.4369,16.9997,16.9997,,16.1269,0.8459,0.0005,,0.0264,15.4372,0.3083,15.1289,10.4122,4.9707,,0.0543
Jiangsu,2015,521.0467,148.1838,58.8314,89.3524,42.2725,27.5339,70.4257,2.9272,5.0245,372.8629,32.5411,340.3218,272.4695,85.6339,11.1491,3.6104
Zhejiang,2015,597.8341,487.0397,393.6966,93.3431,282.8964,103.9405,76.9971,5.1463,18.0594,110.7944,8.8429,101.9515,78.0201,13.3376,3.0344,16.4023
Anhui,2015,230.4261,,,,,,,,,230.4261,31.6388,198.7873,184.2231,32.6959,8.8344,4.6727
Fujian,2015,733.8969,636.3218,232.1917,404.1301,211.2835,52.3292,266.1333,89.6791,16.8967,97.5751,8.7604,88.8147,81.1767,8.3569,5.894,2.1475
Jiangxi,2015,264.249,,,,,,,,,264.249,26.4044,237.8446,233.7111,15.6681,7.8181,7.0517
Shandong,2015,931.2693,774.6994,275.134,499.5654,224.0035,39.3606,406.1479,66.7387,38.4487,156.5699,10.2627,146.3072,146.1582,8.97,0.6498,0.7919
Henan,2015,102.373,,,,,,,,,102.373,5.113,97.26,99.0287,2.5112,0.107,0.7261
Hubei,2015,455.8863,,,,,,,,,455.8863,19.1002,436.7861,377.8834,69.6614,3.6804,4.6611
Hunan,2015,259.3776,,,,,,,,,259.3776,10.8939,248.4837,248.3578,4.7223,2.5334,3.7641
Guangdong,2015,858.2223,459.2303,156.0126,303.2177,163.3615,72.0369,203.2901,8.2977,12.2441,398.992,12.4282,386.5638,359.4803,31.3474,4.7886,3.3757
Guangxi,2015,345.9249,179.7194,65.5028,114.2166,41.3573,38.1211,89.988,,10.253,166.2055,13.8374,152.3681,159.7527,1.5571,1.6939,3.2018
Hainan,2015,204.8912,161.9757,136.0725,25.9032,122.2248,19.3511,7.4992,3.8579,9.0427,42.9155,2.3286,40.5869,41.8801,0.2595,0.1833,0.5926
Chongqing,2015,48.0863,,,,,,,,,48.0863,2.0358,46.0505,47.5224,0.3413,0.0456,0.177
Sichuan,2015,138.685,,,,,,,,,138.685,5.9648,132.7202,136.7549,0.8003,0.4169,0.7129
Guizhou,2015,24.9762,,,,,,,,,24.9762,1.3902,23.586,24.5735,0.2759,0.0327,0.0941
Yunnan,2015,69.7098,,,,,,,,,69.7098,5.8138,63.896,68.9085,0.4722,0.2,0.1291
Xizang,2015,0.034,,,,,,,,,0.034,0.0279,0.0061,0.0277,,,0.0063
Shaanxi,2015,15.516,,,,,,,,,15.516,0.72,14.796,14.8869,0.0377,0.0005,0.5909
Gansu,2015,1.4932,,,,,,,,,1.4932,,1.4932,1.4869,0.0044,,0.0019
Qinghai,2015,1.0578,,,,,,,,,1.0578,,1.0578,1.0438,0.014,,
Ningxia,2015,16.9727,,,,,,,,,16.9727,0.0392,16.9335,16.8378,0.1329,,0.002
Xinjiang,2015,15.1361,,,,,,,,,15.1361,1.0794,14.0567,14.977,0.1404,0.0045,0.0142
Beijing,2016,5.4288,1.3514,1.3514,,1.3514,,,,,4.0774,0.3351,3.7423,4.0519,0.0024,,0.0231
Tianjin,2016,39.436,6.9703,5.8369,1.1334,5.7236,0.9881,0.2017,,0.0569,32.4657,1.2271,31.2386,27.7978,4.4831,0.0572,0.1276
Hebei,2016,136.9267,80.6799,29.5427,51.1372,20.3552,7.6951,48.0046,,4.625,56.2468,10.2669,45.9799,52.1205,3.2859,0.3681,0.4723
Shanxi,2016,5.2279,,,,,,,,,5.2279,0.1101,5.1178,5.1776,0.0128,,0.0375
Neimenggu,2016,15.8298,,,,,,,,,15.8298,2.9303,12.8995,15.5146,0.124,,0.1912
Liaoning,2016,550.0694,446.973,136.7026,310.2704,100.352,23.3771,261.6714,32.5858,28.9867,103.0964,5.3947,97.7017,91.3393,10.534,0.0432,1.1799
Jilin,2016,20.0683,,,,,,,,,20.0683,1.9509,18.1174,19.7492,0.2812,0.0379,
Heilongjiang,2016,57.2955,,,,,,,,,57.2955,5.4551,51.8404,56.6398,0.6124,0.0377,0.0056
Shanghai,2016,29.6201,14.1833,14.1833,,13.0982,1.0692,0.0004,,0.0155,15.4368,0.2414,15.1954,10.7063,4.6804,,0.0501
Jiangsu,2016,520.7448,147.3125,56.8952,90.4173,40.4002,27.384,71.5849,3.0074,4.936,373.4323,31.7098,341.7225,273.1611,85.7448,10.9329,3.5935
Zhejiang,2016,604.5404,490.2738,388.5036,101.7702,278.6152,102.1746,83.8722,5.5129,20.0989,114.2666,9.1335,105.1331,83.175,13.2654,3.0795,14.7467
Anhui,2016,235.7964,,,,,,,,,235.7964,30.8754,204.921,186.1756,34.9839,9.7079,4.929
Fujian,2016,767.7846,665.2871,232.9056,432.3815,213.7411,54.7012,281.4868,98.1551,17.2029,102.4975,8.8789,93.6186,85.3224,8.9893,5.9675,2.2183
Jiangxi,2016,271.6146,,,,,,,,,271.6146,27.539,244.0756,239.7397,16.4215,7.8765,7.5769
Shandong,2016,950.1856,794.9542,282.1702,512.784,226.6576,40.3227,422.515,67.4667,37.9922,155.2314,11.5984,143.633,144.2118,9.456,0.7217,0.8419
Henan,2016,128.3546,,,,,,,,,128.3546,7.0597,121.2949,123.9406,3.3124,0.1935,0.9081
Hubei,2016,470.8394,,,,,,,,,470.8394,19.0167,451.8227,387.2792,74.8715,3.5407,5.148
Hunan,2016,269.5681,,,,,,,,,269.5681,10.8305,258.7376,253.4993,9.2815,2.6142,4.1731
Guangdong,2016,873.7893,466.3817,152.5686,313.8131,162.4437,77.0886,205.6588,8.6391,12.5515,407.4076,12.2883,395.1193,367.6352,31.6541,4.7507,3.3676
Guangxi,2016,361.7653,187.3182,65.8647,121.4535,41.9556,40.5666,94.7961,,9.9999,174.4471,14.4623,159.9848,167.99,1.3233,1.6961,3.4377
Hainan,2016,214.6379,168.7184,140.7482,27.9702,127.5978,20.7274,7.0881,3.952,9.3531,45.9195,2.299,43.6205,44.8527,0.2669,0.1885,0.6114
Chongqing,2016,50.8427,,,,,,,,,50.8427,2.0379,48.8048,50.167,0.4158,0.0425,0.2174
Sichuan,2016,145.4388,,,,,,,,,145.4388,5.8638,139.575,143.4602,0.8675,0.434,0.6771
Guizhou,2016,28.989,,,,,,,,,28.989,1.4063,27.5827,28.5383,0.3111,0.0266,0.113
Yunnan,2016,74.3663,,,,,,,,,74.3663,6.6865,67.6798,73.3749,0.5065,0.2036,0.2813
Xizang,2016,0.0912,,,,,,,,,0.0912,0.0832,0.008,0.0166,,,0.0746
Shaanxi,2016,15.9,,,,,,,,,15.9,0.722,15.178,15.2597,0.0399,0.0005,0.5999
Gansu,2016,1.5333,,,,,,,,,1.5333,,1.5333,1.5266,0.0048,,0.0019
Qinghai,2016,1.205,,,,,,,,,1.205,,1.205,1.1883,0.0167,,
Ningxia,2016,17.4591,,,,,,,,,17.4591,0.0416,17.4175,17.3146,0.1425,,0.002
Xinjiang,2016,16.1601,,,,,,,,,16.1601,1.3985,14.7616,15.7273,0.2201,0.0047,0.208
Beijing,2017,4.5098,0.9,0.9,,0.9,,,,,3.6098,0.3016,3.3082,3.6089,0.0005,,0.0004
Tianjin,2017,32.3321,4.8589,3.9417,0.9172,3.7763,0.8474,0.1617,,0.0735,27.4732,0.5534,26.9198,24.2232,3.1654,0.0181,0.0665
Hebei,2017,116.46,81.1407,28.2249,52.9158,19.6931,7.6994,49.4534,,4.2948,35.3193,4.9018,30.4175,31.3725,3.3197,0.261,0.3661
Shanxi,2017,5.3047,,,,,,,,,5.3047,0.2142,5.0905,5.2584,0.0144,,0.0319
Neimenggu,2017,15.6181,,,,,,,,,15.6181,2.8354,12.7827,15.2775,0.1362,,0.2044
Liaoning,2017,479.4374,391.8774,83.74,308.1374,68.2773,14.6633,253.5615,33.0473,22.328,87.56,4.56,83,79.6407,6.8555,0.0384,1.0254
Jilin,2017,22.035,,,,,,,,,22.035,1.9304,20.1046,21.6686,0.3377,0.0287,
Heilongjiang,2017,58.7302,,,,,,,,,58.7302,5.164,53.5662,57.9801,0.6981,0.0439,0.0081
Shanghai,2017,26.8882,14.4701,14.4701,,13.4661,0.9757,0.0002,,0.0281,12.4181,0.1431,12.275,9.8508,2.5074,,0.0599
Jiangsu,2017,507.5922,148.7281,55.6522,93.0759,40.2722,27.0383,72.1773,4.3483,4.892,358.8641,30.7635,328.1006,260.126,85.0334,10.3326,3.3721
Zhejiang,2017,594.4516,472.3721,356.1163,116.2558,262.5997,90.2764,94.9117,7.4613,17.123,122.0795,11.3524,110.7271,91.6872,13.8344,3.3531,13.2048
Anhui,2017,217.9632,,,,,,,,,217.9632,27.8508,190.1124,169.3601,35.2179,8.8653,4.5199
Fujian,2017,744.5737,662.458,217.1408,445.3172,206.8958,51.1473,285.7367,103.348,15.3302,82.1157,6.8925,75.2232,68.3365,7.4499,4.6522,1.6771
Jiangxi,2017,250.5549,,,,,,,,,250.5549,22.6043,227.9506,220.4519,16.219,6.7587,7.1253
Shandong,2017,868.003,737.1727,218.0891,519.0836,176.8166,35.1167,428.0099,66.0344,31.1951,130.8303,8.373,122.4573,121.4973,8.1463,0.4723,0.7144
Henan,2017,94.673,,,,,,,,,94.673,11.148,83.525,91.2411,2.6525,0.1542,0.6252
Hubei,2017,465.4222,,,,,,,,,465.4222,29.2961,436.1261,369.5296,86.9016,2.248,6.743
Hunan,2017,241.5312,,,,,,,,,241.5312,9.4928,232.0384,217.5978,16.7476,2.6796,4.5062
Guangdong,2017,833.5387,451.8133,148.9063,302.907,160.9659,77.7332,191.5323,8.1666,13.4153,381.7254,12.037,369.6884,345.3474,27.4986,4.685,4.1944
Guangxi,2017,320.7683,191.901,61.9658,129.9352,40.8749,43.4241,98.7,,8.902,128.8673,10.4605,118.4068,124.1207,0.9647,1.2398,2.5421
Hainan,2017,180.7899,144.8853,112.7331,32.1522,102.0773,21.7931,7.1747,2.3755,11.4647,35.9046,1.3295,34.5751,34.9922,0.2432,0.1827,0.4865
Chongqing,2017,51.513,,,,,,,,,51.513,1.8943,49.6187,50.6499,0.5154,0.0404,0.3073
Sichuan,2017,150.7396,,,,,,,,,150.7396,5.3783,145.3613,148.297,1.2368,0.4129,0.7929
Guizhou,2017,25.4782,,,,,,,,,25.4782,1.152,24.3262,25.1732,0.217,0.0249,0.0631
Yunnan,2017,63.1182,,,,,,,,,63.1182,5.5949,57.5233,62.2973,0.3722,0.1684,0.2803
Xizang,2017,0.0454,,,,,,,,,0.0454,0.0383,0.0071,0.0118,,,0.0336
Shaanxi,2017,16.303,,,,,,,,,16.303,0.72,15.583,15.6488,0.0397,0.0008,0.6137
Gansu,2017,1.5441,,,,,,,,,1.5441,,1.5441,1.5355,0.0063,,0.0023
Qinghai,2017,1.6073,,,,,,,,,1.6073,,1.6073,1.5959,0.0114,,
Ningxia,2017,18.0889,,,,,,,,,18.0889,0.0429,18.046,17.9409,0.145,,0.003
Xinjiang,2017,16.5528,,,,,,,,,16.5528,1.2723,15.2805,16.2333,0.2988,0.0065,0.0142
